Index ,Row-ID,Order Id ,order-date,Ship.Date,Ship  Mode,CustomerID,Customer  Name,Segment,Country,City,State,Postal_Code#,REGION,Product ID,Category,Sub Category,PRODUCT NAME,Sales($),Qty,disc,Profit %,Notes (Dirty)
759,760,CA-2017-133333,2017-09-18,22/09/2017,Standard Class,BF-11020, Barry Französisch ,Corporate,United States,Green Bay,Wisconsin,54302.0,Central,OFF-PA-10002377,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",22.72,4,0.0,10.224,
770,771,CA-2017-104220,2017-01-30,,Standard Class,BV-11245,Benjamin Venier,Corporate,United States,Des Moines,Iowa,50315.0,Central,OFF-BI-10001036,OFFICE SUPPLIES,Binders,Cardinal EasyOpen D-Ring Binders,18.28,2,0.0,9.14,
771,772,CA-2017-104220,30/01/2017,,Standard Class,BV-11245, Benjamin Venier ,Corporate,United States,Des Moines,Iowa,50315.0,Central,TEC-PH-10004614,Technology,Phones,AT&T 841000 Phone,207.0,3,0.0,51.75,
772,773,CA-2017-104220,30/01/2017,,Standard Class,BV-11245,Benjamin Venier,Corporate,United States,Des Moines,Iowa,50315.0,Central,OFF-BI-10000301,Office Supplies,Binders,GBC Instant Report Kit,32.35,5,0.0,16.175,
773,774,CA-2017-104220,01-30-2017,,Standard Class,BV-11245,Benjamin Venier,Corporate,United States,Des Moines,Iowa,50315.0,Central,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,7.71,1,0.0,3.4695,
774,775,CA-2017-104220,30/01/2017,,Standard Class,BV-11245,Benjamin Venier,Corporate,United States,Des Moines,Iowa,50315.0,Central,OFF-AR-10004648,Office Supplies,Art,Boston 19500 Mighty Mite Electric Pencil Sharpener,40.3,2,0.0,10.881,
775,776,CA-2017-104220,2017-01-30,,Standard Class,BV-11245,,Corporate,United States,Des Moines,Iowa,50315.0,Central,FUR-FU-10002597,Furniture,Furnishings,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",34.58,7,0.0,14.5236,
795,796,CA-2017-151428,2017-09-21,2017-09-26,Standard Class,RH-19495, Rick Hansen ,Consumer,United States,Rochester,Minnesota,55901,Central,OFF-BI-10000546,Office Supplies,Binders,Avery Durable Binders,20.16,7,0.0,9.8784,
807,808,CA-2015-140921,,,First Class,AA-10375,Allen Armold,Consumer,United States,Omaha,Nebraska,,Central,FUR-FU-10003347,Furniture,Furnishings,Coloredge Poster Frame,$28.40,2,0.0,11.076,
808,809,CA-2015-140921,,,First Class,AA-10375,Allen Armold,Consumer,United States,Omaha,Nebraska,68104.0,Central,TEC-AC-10004901,Technology,Accessories,Kensington SlimBlade Notebook Wireless Mouse with Nano Receiver ,149.97,3,0.0,50.9898,
815,816,CA-2015-106565,03-20-2015,23/03/2015,First Class,BW-11110,Bart Watters,Corporate,United States,Milwaukee,Wisconsin,53209,Central,OFF-PA-10000061,Office Supplies,Paper,Xerox 205,51.84,8,0.0,24.8832,
826,827,CA-2017-126956,21/08/2017,08-28-2017,Standard Class,GT-14710,Greg Tran,Consumer,United States,Lakeville,Minnesota,,Central,OFF-FA-10002280,OFFICE SUPPLIES,Fasteners,Advantus Plastic Paper Clips,35.0,7,0.0,16.8,
827,828,CA-2017-126956,08-21-2017,2017-08-28,Standard Class,GT-14710,Greg Tran,Consumer,United States,Lakeville,Minnesota,55044.0,Central,OFF-SU-10000381,Office Supplies,Supplies,Acme Forged Steel Scissors with Black Enamel Handles,37.24,4,0.0,10.7996,
828,829,CA-2017-126956,2017-08-21,08-28-2017,Standard Class,GT-14710,Greg Tran,Consumer,United States,Lakeville,Minnesota,55044.0,Central,OFF-EN-10004459, Office Supplies  ,Envelopes,Security-Tint Envelopes,15.28,2,0.0,7.4872,
836,837,US-2014-115987,,09-13-2014,Second Class,LH-17020,Lisa Hazard,Consumer,United States,Tyler,Texas,75701.0,Central,OFF-BI-10001071,Office Supplies,Binders,GBC ProClick Punch Binding System,51.184,4,0.8,-79.3352,
838,839,US-2016-137547,,,Standard Class,EB-13705,Ed Braxton,Corporate,United States,Fort Worth,Texas,76106.0,Central,TEC-PH-10002365,Technology,Phones,Belkin Grip Candy Sheer Case / Cover for iPhone 5 and 5S,,3,0.2,$1.58,
883,884,CA-2016-165148,2016-10-22,2016-10-24,First Class,PM-19135,Peter McVee,Home Office,United States,Detroit,Michigan,48227.0,Central,FUR-FU-10000732,Furniture,Furnishings,Eldon 200 Class Desk Accessories,31.4,5,0.0,10.048,
891,892,CA-2017-133256,2017-06-26,06-27-2017,First Class,TH-21550,Tracy Hopkins,Home Office,United States,Detroit,Michigan,48227.0,Central,OFF-PA-10001622, Office Supplies  ,Paper,"Ampad Poly Cover Wirebound Steno Book, 6"" x 9"" Assorted Colors, Gregg Ruled",4.54,1,0.0,2.043,
892,893,CA-2017-133256,26/06/2017,06-27-2017,First Class,TH-21550,Tracy Hopkins,Home Office,United States,Detroit,Michigan,48227.0,Central,OFF-AR-10003158,Office Supplies,Art,Fluorescent Highlighters by Dixon,15.92,4,0.0,5.4128,
893,894,CA-2017-133256,06-26-2017,06-27-2017,First Class,TH-21550,Tracy Hopkins,Home Office,United States,Detroit,Michigan,48227.0,Central,TEC-PH-10002660,Technology,Phones,Nortel Networks T7316 E Nt8 B27,543.92,8,0.0,135.98,
896,897,CA-2016-140634,,,Second Class,HL-15040,Hunter Lopez,Consumer,United States,Houston,Texas,77095.0,Central,OFF-EN-10001099,Office Supplies,Envelopes,Staple envelope,15.648,2,0.2,5.0856,
897,898,CA-2014-144407,,09-15-2014,Standard Class,MS-17365,Maribeth Schnelling,Consumer,United States,Detroit,Michigan,48227.0,Central,OFF-LA-10003923,Office Supplies,Labels,Alphabetical Labels for Top Tab Filing,103.6,7,0.0,51.8,
900,901,CA-2017-150959,,2017-11-13,First Class,TD-20995,Tamara Dahlen,Consumer,United States,Garland,Texas,75043.0,Central,OFF-LA-10001045,Office Supplies,Labels,Permanent Self-Adhesive File Folder Labels for Typewriters by Universal,10.44,5,0.2,3.393,
901,902,CA-2017-150959,,13/11/2017,First Class,TD-20995,Tamara Dahlen,Consumer,United States,Garland,Texas,75043.0,Central,OFF-BI-10001510,Office Supplies,Binders,Deluxe Heavy-Duty Vinyl Round Ring Binder,$18.34,4,0.8,-32.088,
902,903,CA-2017-132353,09-15-2017,17/09/2017,First Class,DB-13060,Dave Brooks,Consumer,United States,Chicago,Illinois,60653.0,Central,TEC-PH-10004536,Technology,Phones,Avaya 5420 Digital phone,323.976,3,0.2,20.2485,
909,910,CA-2017-137596,,,Standard,BE-11335,Bill Eplett,Home Office,United States,Jackson,Michigan,49201.0,Central,TEC-PH-10001494,Technology,Phones,Polycom CX600 IP Phone VoIP phone,1199.8,4,0.0,323.946,
910,911,CA-2017-137596,,,Standard Class,BE-11335,Bill Eplett,Home Office,United States,Jackson,Michigan,49201.0,Central,TEC-AC-10004666,Technology,Accessories,Maxell iVDR EX 500GB Cartridge,1928.78,7,0.0,829.3754,
911,912,CA-2017-137596,,,Standard Class,BE-11335,Bill Eplett,Home Office,United States,Jackson,Michigan,49201.0,Central,OFF-ST-10003816,Office Supplies,Storage,Fellowes High-Stak Drawer Files,352.38,2,0.0,81.0474,
913,914,CA-2017-102519,2017-11-27,29/11/2017,First Class,BM-11650,Brian Moss,Corporate,United States,Milwaukee,Wisconsin,53209.0,Central,FUR-FU-10004091,Furniture,Furnishings,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",46.94,1,0.0,19.2454,
914,915,CA-2017-102519,11-27-2017,11-29-2017,First Class,BM-11650,Brian Moss,Corporate,United States,Milwaukee,Wisconsin,53209.0,Central,TEC-AC-10001772,TECHNOLOGY,Accessories,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,143.73,9,0.0,56.0547,
915,916,US-2014-141215,15/06/2014,21/06/2014,Standard Class,KL-16555,Kelly Lampkin,Corporate,United States,San Antonio,Texas,78207.0,Central,FUR-TA-10001520,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",99.918,2,0.3,-18.5562,
916,917,US-2014-141215,06-15-2014,2014-06-21,Standard Class,KL-16555,Kelly Lampkin,Corporate,United States,San Antonio,Texas,78207.0,Central,FUR-CH-10003379,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,797.944,4,0.3,$-57.00,
917,918,US-2014-141215,15/06/2014,06-21-2014,Standard Class,KL-16555,Kelly Lampkin,Corporate,United States,San Antonio,Texas,78207.0,Central,OFF-BI-10002706,OFFICE SUPPLIES,Binders,Avery Premier Heavy-Duty Binder with Round Locking Rings,$8.57,3,0.8,-14.5656,
918,919,CA-2016-165218,,,Standard Class,RW-19630,Rob Williams,Corporate,United States,Dallas,Texas,75220.0,Central,OFF-EN-10000056,Office Supplies,Envelopes,Cameo Buff Policy Envelopes,149.352,3,0.2,50.4063,
919,920,CA-2016-165218,,,Standard Class,RW-19630,Rob Williams,Corporate,United States,Dallas,Texas,75220.0,Central,OFF-ST-10001558,Office Supplies,Storage,Acco Perma 4000 Stacking Storage Drawers,12.992,1,0.2,-0.812,
953,954,CA-2017-136539,12-28-2017,,Standard,GH-14665,Greg Hansen,Consumer,United States,Round Rock,Texas,78664,Central,OFF-AR-10001958,Office Supplies,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners,27.168,2,0.2,2.7168,
954,955,CA-2017-136539,12-28-2017,,Standard Class,GH-14665, Greg Hansen ,Consumer,United States,Round Rock,Texas,78664.0,Central,FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",,2,0.32,-11.596,
977,978,CA-2017-159366,,,First Class,BW-11110,Bart Watters,Corporate,United States,Detroit,Michigan,48205.0,Central,TEC-MA-10000822, Technology  ,Machines,Lexmark MX611dhe Monochrome Laser Printer,3059.982,2,0.1,679.996,
979,980,CA-2015-157035,,,First Class,KB-16600,Ken Brennan,Corporate,United States,Columbus,Indiana,47201.0,Central,OFF-PA-10004156, Office Supplies  ,Paper,Xerox 188,34.02,3,0.0,$16.67,
984,985,CA-2017-100314,29/09/2017,,Standard Class,AS-10630,Ann Steele,Home Office,United States,Pasadena,Texas,77506.0,Central,OFF-LA-10001569,Office Supplies,Labels,Avery 499,7.968,2,0.2,2.5896,
985,986,CA-2017-100314,2017-09-29,,Standard Class,AS-10630,Ann Steele,Home Office,United States,Pasadena,Texas,77506.0,Central,OFF-EN-10000461,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",27.968,4,0.2,9.4392,
986,987,CA-2017-100314,29/09/2017,,Standard Class,AS-10630,Ann Steele,Home Office,United States,Pasadena,Texas,77506,Central,TEC-MA-10003066,Technology,Machines,Wasp CCD Handheld Bar Code Reader,336.51,3,0.4,44.868,
987,988,CA-2015-146829,,,Same Day,TS-21340,Toby Swindell,Consumer,United States,Houston,Texas,77041.0,Central,OFF-BI-10004022,Office Supplies,Binders,Acco Suede Grain Vinyl Round Ring Binder,1.112,2,0.8,-1.8904,
1008,1009,US-2017-106705,12-26-2017,,Standard Class,PO-18850,,Consumer,United States,Burlington,Iowa,52601.0,Central,OFF-PA-10001509,Office Supplies,Paper,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",44.75,5,0.0,20.585,check
1009,1010,CA-2017-135034,,,First Class,AT-10735,Annie Thurman,Consumer,United States,Chicago,Illinois,60653.0,Central,TEC-PH-10003931,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,95.984,2,0.2,5.999,
1036,1037,CA-2016-113061,22/04/2016,04-26-2016,Standard Class,EL-13735,Ed Ludwig,Home Office,United States,Jefferson City,Missouri,65109,Central,FUR-FU-10003975,Furniture,Furnishings,Eldon Advantage Chair Mats for Low to Medium Pile Carpets,86.62,2,0.0,8.662,
1040,1041,CA-2016-127670,,24/03/2016,Standard Class,RD-19660, Robert Dilbeck ,Home Office,United States,Saint Peters,Missouri,63376.0,Central,FUR-TA-10001095,Furniture,Tables,Chromcraft Round Conference Tables,697.16,4,0.0,146.4036,
1043,1044,CA-2017-115651,,,First Class,NS-18640,Noel Staavos,Corporate,United States,Chicago,Illinois,60610.0,Central,OFF-AR-10001130,Office Supplies,Art,"Quartet Alpha White Chalk, 12/Pack",8.84,5,0.2,2.9835,
1044,1045,CA-2017-115651,,,First Class,NS-18640,Noel Staavos,Corporate,United States,Chicago,Illinois,60610.0,Central,OFF-AP-10000055,Office Supplies,Appliances,Belkin F9S820V06 8 Outlet Surge,58.464,9,0.8,-146.16,
1045,1046,CA-2017-152702,,16/10/2017,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Rockford,Illinois,61107.0,Central,FUR-CH-10002304,Furniture,Chairs,"Global Stack Chair without Arms, Black",254.604,14,0.3,$-18.19,
1060,1061,US-2015-125374,2015-03-23,03-29-2015,Standard Class,JD-16060,Julia Dunbar,Consumer,United States,Houston,Texas,77095.0,Central,FUR-CH-10003396,Furniture,Chairs,Global Deluxe Steno Chair,$107.77,2,0.3,$-29.25,
1068,1069,US-2017-139955,2017-09-28,2017-09-30,Second Class,CM-12160,Charles McCrossin,Consumer,United States,Brownsville,Texas,78521,Central,OFF-SU-10001935,Office Supplies,Supplies,Staple remover,1.744,1,0.2,-0.3488,
1076,1077,CA-2016-161781,2016-09-29,30/09/2016,First Class,CC-12100,Chad Cunningham,Home Office,United States,Columbus,Indiana,47201.0,Central,OFF-AR-10000255,Office Supplies,Art,Newell 328,40.88,7,0.0,10.6288,
1080,1081,CA-2015-110016,2015-11-29,,Standard Class,BT-11395,Bill Tyler,Corporate,United States,Detroit,Michigan,48227.0,Central,OFF-PA-10000349,Office Supplies,Paper,Easy-staple paper,19.92,4,0.0,9.3624,
1081,1082,CA-2015-110016,29/11/2015,,Standard Class,BT-11395,Bill Tyler,Corporate,United States,Detroit,Michigan,48227.0,Central,FUR-CH-10002880,FURNITURE,Chairs,"Global High-Back Leather Tilter, Burgundy",1106.91,9,0.0,121.7601,
1086,1087,CA-2016-167584,,,Same Day,LC-16870,Lena Cacioppo,Consumer,United States,Des Moines,Iowa,50315.0,Central,OFF-PA-10000029,Office Supplies,Paper,Xerox 224,6.48,1,0.0,3.1104,
1102,1103,US-2017-145863,2017-04-21,27/04/2017,Standard Class,RP-19390,Resi Pölking,Consumer,United States,Houston,Texas,77041.0,Central,OFF-BI-10004140, OFFICE SUPPLIES  ,Binders,Avery Non-Stick Binders,2.694,3,0.8,-4.7145,
1103,1104,US-2017-145863,21/04/2017,04-27-2017,Standard Class,RP-19390,Resi Pölking,Consumer,United States,Houston,Texas,77041.0,Central,OFF-BI-10002049,Office Supplies,Binders,UniKeep View Case Binders,2.934,3,0.8,-4.9878,
1105,1106,US-2016-110156,19/11/2016,2016-11-24,Standard Class,EH-13945,Eric Hoffmann,Consumer,United States,Houston,Texas,77041,Central,OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray",100.704,6,0.2,-16.3644,
1106,1107,US-2016-110156,2016-11-19,11-24-2016,Standard Class,EH-13945,Eric Hoffmann,Consumer,United States,Houston,Texas,77041.0,Central,FUR-FU-10000206,Furniture,Furnishings,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",2.328,2,0.6,-0.7566,
1107,1108,US-2016-110156,19/11/2016,11-24-2016,Standard Class,EH-13945,Eric Hoffmann,Consumer,United States,Houston,Texas,77041,Central,OFF-BI-10003676,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",10.78,5,0.8,-17.248,
1108,1109,US-2016-110156,19/11/2016,11-24-2016,Standard,EH-13945,Eric Hoffmann,Consumer,United States,Houston,Texas,77041.0,Central,OFF-FA-10003495,Office Supplies,Fasteners,Staples,$58.37,12,0.2,21.888,
1109,1110,US-2016-110156,19/11/2016,24/11/2016,Standard Class,EH-13945,Eric Hoffmann,Consumer,United States,Houston,Texas,77041.0,Central,OFF-EN-10003798,Office Supplies,Envelopes,"Recycled Interoffice Envelopes with Re-Use-A-Seal Closure, 10 x 13",40.968,3,0.2,13.8267,
1110,1111,US-2016-110156,19/11/2016,11-24-2016,Standard Class,EH-13945,Eric Hoffmann,Consumer,United States,Houston,Texas,77041.0,Central,TEC-PH-10003589,Technology,Phones,invisibleSHIELD by ZAGG Smudge-Free Screen Protector,71.96,5,0.2,25.186,
1111,1112,US-2016-110156,11-19-2016,11-24-2016,Standard Class,EH-13945,Eric Hoffmann,Consumer,United States,Houston,Texas,77041,Central,OFF-PA-10004735,Office Supplies,Paper,Xerox 1905,10.368,2,0.2,3.6288,
1112,1113,US-2016-110156,2016-11-19,11-24-2016,Standard Class,EH-13945,Eric Hoffmann,Consumer,United States,Houston,Texas,77041.0,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.192,2,0.8,-2.0264,
1127,1128,CA-2015-105970,,,Standard Class,PA-19060,Pete Armstrong,Home Office,United States,Richmond,Indiana,47374.0,Central,OFF-AR-10003156,OFFICE SUPPLIES,Art,50 Colored Long Pencils,10.16,1,0.0,2.6416,
1128,1129,CA-2015-105970,,,Standard Class,PA-19060,Pete Armstrong,Home Office,United States,Richmond,Indiana,47374.0,Central,OFF-EN-10001532,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,101.88,6,0.0,$50.94,
1136,1137,CA-2016-152170,,15/11/2016,Second Class,FH-14275,Frank Hawley,Corporate,United States,La Porte,Indiana,46350.0,Central,OFF-EN-10002831,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel  Envelopes, Gray",287.52,8,0.0,$129.38,
1137,1138,CA-2016-152170,,2016-11-15,Second Class,FH-14275,Frank Hawley,Corporate,United States,La Porte,Indiana,46350.0,Central,OFF-AP-10002350,Office Supplies,Appliances,Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,$37.68,2,0.0,10.5504,
1138,1139,CA-2016-152170,,11-15-2016,Second Class,FH-14275,Frank Hawley,Corporate,United States,La Porte,Indiana,46350.0,Central,OFF-PA-10001763, Office Supplies  ,Paper,Xerox 1896,19.98,2,0.0,8.991,
1139,1140,CA-2016-152170,,11-15-2016,Second Class,FH-14275,Frank Hawley,Corporate,United States,La Porte,Indiana,46350,Central,OFF-AR-10003394,Office Supplies,Art,Newell 332,20.58,7,0.0,5.5566,
1140,1141,CA-2016-152170,,15/11/2016,Second Class,FH-14275,Frank Hawley,Corporate,United States,La Porte,Indiana,46350.0,Central,OFF-BI-10002072,Office Supplies,Binders,Cardinal Slant-D Ring Binders,$17.38,2,0.0,8.69,
1146,1147,CA-2015-112452,,,Same Day,NC-18340, Nat Carroll ,Consumer,United States,Lansing,Michigan,48911.0,Central,OFF-AP-10003849,Office Supplies,Appliances,Hoover Shoulder Vac Commercial Portable Vacuum,$644.08,2,0.1,107.346,
1147,1148,CA-2015-112452,,,Same Day,NC-18340,Nat Carroll,Consumer,United States,Lansing,Michigan,48911.0,Central,OFF-FA-10000735,Office Supplies,Fasteners,Staples,5.84,2,0.0,2.628,
1148,1149,CA-2015-112452,,,Same Day,NC-18340,Nat Carroll,Consumer,United States,Lansing,Michigan,48911.0,Central,OFF-BI-10003350,Office Supplies,Binders,Acco Expandable Hanging Binders,12.76,2,0.0,5.8696,
1149,1150,CA-2015-112452,,,Same Day,NC-18340, Nat Carroll ,Consumer,United States,Lansing,Michigan,48911.0,Central,TEC-PH-10000307,Technology,Phones,Shocksock Galaxy S4 Armband,10.95,1,0.0,0.438,
1150,1151,CA-2015-112452,,,Same Day,NC-18340,Nat Carroll,Consumer,United States,Lansing,Michigan,48911,Central,TEC-CO-10004202,Technology,Copiers,Brother DCP1000 Digital 3 in 1 Multifunction Machine,599.98,2,0.0,209.993,
1159,1160,CA-2017-147039,06-29-2017,,Standard Class,AA-10315, Alex Avila ,Consumer,United States,Minneapolis,Minnesota,55407.0,Central,OFF-AP-10000576,Office Supplies,Appliances,"Belkin 325VA UPS Surge Protector, 6'",362.94,3,0.0,90.735,
1160,1161,CA-2017-147039,2017-06-29,,Standard Class,AA-10315,Alex Avila,Consumer,United States,Minneapolis,Minnesota,55407.0,Central,OFF-BI-10004654,OFFICE SUPPLIES,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,11.54,2,0.0,5.77,
1165,1166,CA-2014-117709,,,Standard Class,PM-18940, Paul MacIntyre ,Consumer,United States,Jackson,Michigan,49201.0,Central,OFF-BI-10001294,Office Supplies,Binders,Fellowes Binding Cases,46.8,4,0.0,21.06,
1171,1172,US-2014-100279,,03-14-2014,Standard Class,SW-20275,Scott Williamson,Consumer,United States,Royal Oak,Michigan,48073.0,Central,OFF-PA-10002259,Office Supplies,Paper,"Geographics Note Cards, Blank, White, 8 1/2"" x 11""",$22.38,2,0.0,10.7424,
1173,1174,US-2015-104430,10-22-2015,26/10/2015,Standard Class,LT-17110,Liz Thompson,Consumer,United States,Bloomington,Illinois,61701.0,Central,OFF-BI-10000301,Office Supplies,Binders,GBC Instant Report Kit,5.176,4,0.8,-7.764,
1179,1180,CA-2016-168081,04-24-2016,27/04/2016,Second Class,CA-12055,Cathy Armstrong,Home Office,United States,Houston,Texas,77070.0,Central,TEC-AC-10003174,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,258.696,3,0.2,64.674,
1197,1198,CA-2016-130946,,,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,United States,Houston,Texas,77041,Central,TEC-AC-10001990,Technology,Accessories,Kensington Orbit Wireless Mobile Trackball for PC and Mac,431.928,9,0.2,64.7892,
1198,1199,CA-2016-130946,,,Standard Class,ZC-21910, Zuschuss Carroll ,Consumer,United States,Houston,Texas,77041.0,Central,FUR-CH-10004540,Furniture,Chairs,Global Chrome Stack Chair,95.984,4,0.3,-4.1136,
1199,1200,CA-2016-130946,,,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,United States,Houston,Texas,77041.0,Central,OFF-BI-10004995,OFFICE SUPPLIES,Binders,GBC DocuBind P400 Electric Binding System,1088.792,4,0.8,"$-1,850.95",
1252,1253,CA-2015-154956,,,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Milwaukee,Wisconsin,53209.0,Central,TEC-PH-10004165, TECHNOLOGY  ,Phones,Mitel MiVoice 5330e IP Phone,1099.96,4,0.0,285.9896,
1263,1264,CA-2016-155992,,,First Class,CC-12220,,Consumer,United States,La Porte,Indiana,46350.0,Central,TEC-PH-10000215,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,69.9,2,0.0,$18.87,
1264,1265,CA-2016-155992,,,First Class,CC-12220,Chris Cortes,Consumer,United States,La Porte,Indiana,,Central,FUR-FU-10003724,Furniture,Furnishings,Westinghouse Clip-On Gooseneck Lamps,41.85,5,0.0,10.881,
1270,1271,US-2016-103646,04-21-2016,04-26-2016,Standard Class,SP-20545,Sibella Parks,Corporate,United States,Chicago,Illinois,60623.0,Central,OFF-ST-10000563,Office Supplies,Storage,Fellowes Bankers Box Stor/Drawer Steel Plus,102.336,4,0.2,$-12.79,
1271,1272,US-2016-103646,21/04/2016,26/04/2016,Standard Class,SP-20545,Sibella Parks,Corporate,United States,Chicago,Illinois,60623.0,Central,OFF-AP-10004487,Office Supplies,Appliances,Kensington 4 Outlet MasterPiece Compact Power Control Center,48.792,3,0.8,-126.8592,
1272,1273,US-2016-103646,2016-04-21,26/04/2016,Standard Class,SP-20545,Sibella Parks,Corporate,United States,Chicago,Illinois,60623.0,Central,OFF-BI-10002854,Office Supplies,Binders,"Performers Binder/Pad Holder, Black",44.848,8,0.8,-67.272,check
1273,1274,CA-2016-119186,2016-05-26,26/05/2016,Same Day,MS-17710,Maurice Satty,Consumer,United States,Fort Worth,Texas,76106.0,Central,OFF-PA-10004621,Office Supplies,Paper,Xerox 212,10.368,2,0.2,3.6288,
1274,1275,CA-2016-119186,2016-05-26,2016-05-26,Same Day,MS-17710,Maurice Satty,Consumer,United States,Fort Worth,Texas,76106.0,Central,FUR-CH-10001973,Furniture,Chairs,Office Star Flex Back Scooter Chair with White Frame,388.43,5,0.3,-88.784,
1275,1276,CA-2016-119186,05-26-2016,26/05/2016,Same Day,MS-17710,Maurice Satty,Consumer,United States,Fort Worth,Texas,76106.0,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),14.352,3,0.2,$5.20,
1276,1277,CA-2016-119186,2016-05-26,05-26-2016,Same Day,MS-17710,Maurice Satty,Consumer,United States,Fort Worth,Texas,76106.0,Central,TEC-AC-10000580,Technology,Accessories,Logitech G13 Programmable Gameboard with LCD Display,63.992,1,0.2,-7.1991,
1277,1278,CA-2016-148698,,,Standard Class,BD-11770,Bryan Davis,Consumer,United States,Houston,Texas,77070.0,Central,OFF-AR-10004022,Office Supplies,Art,Panasonic KP-380BK Classic Electric Pencil Sharpener,86.352,3,0.2,$5.40,
1280,1281,CA-2016-160815,,,First Class,TR-21325,Toby Ritter,Consumer,United States,Cedar Rapids,Iowa,52402.0,Central,TEC-PH-10003505,Technology,Phones,Geemarc AmpliPOWER60,$278.40,3,0.0,80.736,
1284,1285,US-2015-149692,,,Standard Class,KW-16435,Katrina Willman,Consumer,United States,Austin,Texas,78745.0,Central,OFF-BI-10002813,Office Supplies,Binders,Avery Reinforcements for Hole-Punch Pages,2.772,7,0.8,$-4.85,
1298,1299,CA-2016-134425,,,Second Class,QJ-19255,Quincy Jones,Corporate,United States,Saint Paul,Minnesota,55106.0,Central,TEC-PH-10003555,TECHNOLOGY,Phones,Motorola HK250 Universal Bluetooth Headset,114.95,5,0.0,2.299,
1305,1306,CA-2016-101966,07-14-2016,16/07/2016,2nd Class,BM-11785,Bryan Mills,Consumer,United States,Houston,Texas,77036,Central,TEC-PH-10003437,Technology,Phones,Blue Parrot B250XT Professional Grade Wireless Bluetooth Headset with,419.944,7,0.2,52.493,
1325,1326,US-2014-117058,05-27-2014,30/05/2014,First Class,LE-16810,Laurel Elliston,Consumer,United States,Chicago,Illinois,60653.0,Central,OFF-BI-10004139,Office Supplies,Binders,Fellowes Presentation Covers for Comb Binding Machines,17.46,6,0.8,-30.555,
1332,1333,CA-2014-122567,2014-02-16,2014-02-21,Standard Class,MN-17935,Michael Nguyen,Consumer,United States,Dallas,Texas,75220.0,Central,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,1.08,3,0.8,-1.728,
1333,1334,CA-2014-122567,02-16-2014,02-21-2014,Standard Class,MN-17935,Michael Nguyen,Consumer,United States,Dallas,Texas,75220.0,Central,OFF-AP-10001303,Office Supplies,Appliances,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",7.96,2,0.8,-13.93,
1345,1346,CA-2014-118339,17/03/2014,2014-03-24,Standard Class,BN-11515,Bradley Nguyen,Consumer,United States,Lakeville,Minnesota,55044.0,Central,OFF-AP-10001154,Office Supplies,Appliances,Bionaire Personal Warm Mist Humidifier/Vaporizer,93.78,2,0.0,36.5742,
1346,1347,CA-2014-118339,17/03/2014,03-24-2014,Standard Class,BN-11515,Bradley Nguyen,Consumer,United States,Lakeville,Minnesota,55044.0,Central,OFF-PA-10000466,Office Supplies,Paper,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",$47.18,7,0.0,23.59,
1347,1348,CA-2014-118339,2014-03-17,03-24-2014,Standard Class,BN-11515,Bradley Nguyen,Consumer,United States,Lakeville,Minnesota,55044.0,Central,OFF-AR-10003829,Office Supplies,Art,Newell 35,19.68,6,0.0,5.7072,
